instance_of,subclass
wind speed,Classical mechanics
allotropy,Condensed matter
crystal structure,Condensed matter
crystal system,Condensed matter
fundamental state of matter,Condensed matter
glass,Condensed matter
magnetic ordering,Condensed matter
material defect,Condensed matter
material property,Condensed matter
non-classical state of matter,Condensed matter
packing density,Condensed matter
phase (matter),Condensed matter
quasiparticle,Condensed matter
solid-state physics,Condensed matter
state of matter,Condensed matter
superfluidity,Condensed matter
superhydrophobe,Condensed matter
type of magnets,Condensed matter
algebra over a field,Mathematical Concept
ansatz,Mathematical Concept
area of mathematics,Mathematical Concept
coefficient,Mathematical Concept
contour line,Mathematical Concept
coordinates transformation,Mathematical Concept
derivative,Mathematical Concept
differential equation,Mathematical Concept
dimensionless unit,Mathematical Concept
elliptic differential equation,Mathematical Concept
equation,Mathematical Concept
euclidean vector,Mathematical Concept
family of distributions,Mathematical Concept
formula,Mathematical Concept
function,Mathematical Concept
geometric concept,Mathematical Concept
geometry,Mathematical Concept
great circle,Mathematical Concept
group,Mathematical Concept
hyperbolic partial differential equation,Mathematical Concept
hypersurface,Mathematical Concept
increase,Mathematical Concept
index number,Mathematical Concept
inequation,Mathematical Concept
integral transform,Mathematical Concept
invariant,Mathematical Concept
legendre function,Mathematical Concept
limit,Mathematical Concept
linear combination,Mathematical Concept
logarithmic unit,Mathematical Concept
magnitude,Mathematical Concept
mathematical concept,Mathematical Concept
mathematical constant,Mathematical Concept
mathematical expression,Mathematical Concept
mathematical model,Mathematical Concept
mathematical notation,Mathematical Concept
mathematical object,Mathematical Concept
mathematical problem,Mathematical Concept
mathematical term,Mathematical Concept
mathematical theory,Mathematical Concept
measure,Mathematical Concept
metric,Mathematical Concept
metric function,Mathematical Concept
modulus,Mathematical Concept
multiple,Mathematical Concept
notation,Mathematical Concept
numerical algorithm,Mathematical Concept
obsolete unit of measurement,Mathematical Concept
ordinary differential equation,Mathematical Concept
parabolic partial differential equation,Mathematical Concept
parameter,Mathematical Concept
parametrization,Mathematical Concept
polynomial sequence,Mathematical Concept
probability distribution,Mathematical Concept
probability measure,Mathematical Concept
ratio,Mathematical Concept
relation,Mathematical Concept
set,Mathematical Concept
shape,Mathematical Concept
si base unit,Mathematical Concept
si derived unit,Mathematical Concept
si unit with special name,Mathematical Concept
special function,Mathematical Concept
special orthogonal group,Mathematical Concept
stochastic differential equation,Mathematical Concept
surface,Mathematical Concept
symmetry,Mathematical Concept
system of units,Mathematical Concept
theorem,Mathematical Concept
transformation,Mathematical Concept
type of mathematical function,Mathematical Concept
type of number,Mathematical Concept
type of relation,Mathematical Concept
type of statistic,Mathematical Concept
ucum derived unit,Mathematical Concept
unit of acceleration,Mathematical Concept
unit of activity referred to a radionuclide,Mathematical Concept
unit of angular velocity,Mathematical Concept
unit of area,Mathematical Concept
unit of dose equivalent,Mathematical Concept
unit of dynamic viscosity,Mathematical Concept
unit of electric charge,Mathematical Concept
unit of energy,Mathematical Concept
unit of exposure,Mathematical Concept
unit of force,Mathematical Concept
unit of frequency,Mathematical Concept
unit of information,Mathematical Concept
unit of length,Mathematical Concept
unit of luminance,Mathematical Concept
unit of magnetic flux density,Mathematical Concept
unit of mass,Mathematical Concept
unit of measurement,Mathematical Concept
unit of molar energy,Mathematical Concept
unit of power,Mathematical Concept
unit of pressure,Mathematical Concept
unit of spectral irradiance with respect to wavelength,Mathematical Concept
unit of speed,Mathematical Concept
unit of time,Mathematical Concept
unit of torque,Mathematical Concept
unit of volume,Mathematical Concept
vector operator,Mathematical Concept
volume ratio,Mathematical Concept
atomic pile,Nuclear and atomic physics
beta minus decay,Nuclear and atomic physics
comparison of chernobyl and other radioactivity releases,Nuclear and atomic physics
effects of nuclear explosions,Nuclear and atomic physics
fast-neutron reactor,Nuclear and atomic physics
fusion power,Nuclear and atomic physics
fusion reactor,Nuclear and atomic physics
high flux reactor,Nuclear and atomic physics
ionizing radiation,Nuclear and atomic physics
isotope of helium,Nuclear and atomic physics
isotope of hydrogen,Nuclear and atomic physics
isotope of neutronium,Nuclear and atomic physics
isotope of plutonium,Nuclear and atomic physics
molten salt reactor,Nuclear and atomic physics
natural nuclear fission reactor,Nuclear and atomic physics
nuclear chain reaction,Nuclear and atomic physics
nuclear explosion,Nuclear and atomic physics
nuclear facility,Nuclear and atomic physics
nuclear fuel,Nuclear and atomic physics
nuclear isomer,Nuclear and atomic physics
nuclear physics term,Nuclear and atomic physics
nuclear power plant,Nuclear and atomic physics
nuclear program,Nuclear and atomic physics
nuclear reaction,Nuclear and atomic physics
nuclear reactor,Nuclear and atomic physics
nuclear technology,Nuclear and atomic physics
peaceful nuclear explosion,Nuclear and atomic physics
radioactive waste repository,Nuclear and atomic physics
radioisotope thermoelectric generator,Nuclear and atomic physics
research reactor,Nuclear and atomic physics
stable isotope,Nuclear and atomic physics
tokamak,Nuclear and atomic physics
atmospheric optical phenomenon,Optics
"camera parts, features and technologies",Optics
color in nature,Optics
digital camera,Optics
fluorescence microscope,Optics
halo,Optics
laser diode,Optics
lens type,Optics
michelson interferometer,Optics
mirage,Optics
mirror,Optics
mirror image,Optics
optic method,Optics
optical aberration,Optics
optical illusion,Optics
optical instrument,Optics
optical phenomenon,Optics
optical property,Optics
optical toy,Optics
polarization,Optics
rainbow,Optics
refraction,Optics
spectral color,Optics
abstract data type,Other
academic conference,Other
academic conference series,Other
academic discipline,Other
academic dispute,Other
academic journal,Other
academic journal article,Other
academic major,Other
acronym,Other
act of congress in the united states,Other
advisory board,Other
air sports,Other
algorithm,Other
ambiguous image,Other
ammunition model,Other
animated short film,Other
annual event,Other
anomaly,Other
appliance,Other
archaeological artefact,Other
archaeological sub-discipline,Other
architectural structure,Other
article,Other
artificial physical object,Other
aspect in a geographic region,Other
aspect of history,Other
astrological concept,Other
astrophysical process,Astronomy and Planetary
atmosphere,Astronomy and Planetary
atmospheric layer,Astronomy and Planetary
atmospheric phenomenon,Astronomy and Planetary
auditory illusion,Other
award,Other
bibliographic database,Other
biological process,Other
biological rule,Other
blackboard,Other
blanket term,Other
book series,Other
branch of astronomy,Other
branch of biology,Other
branch of chemistry,Other
branch of philosophy,Other
branch of physics,Other
branch of pseudoscience,Other
branch of psychology,Other
branch of science,Other
business,Other
cat,Other
catholic university,Other
cause of accident,Other
cause of death,Other
certain aspects of a person's life,Other
chemical classification,Other
chemical formalism,Other
chemical law,Other
chemical process,Other
chemical property,Other
chemical substance,Other
chronology,Other
class of chemical entities with similar applications or functions,Other
class of chemical substances by use,Other
class of parts,Other
classical element,Other
classification scheme,Other
coachwork type,Other
committee,Other
company,Other
comparison,Other
computation,Other
computational approach,Other
computational hardness assumption,Other
concept,Other
concept in physics,Other
conception,Other
conceptual model,Other
condition,Other
continuum,Other
control system,Other
controversial invention,Other
correspondence,Other
craft,Other
cultural depiction,Other
cutting fluid,Other
dagger,Other
database table,Other
debate,Other
delay,Other
design,Other
diagram,Other
difference,Other
disciplinary repository,Other
distortion in electrical engineering,Other
discovery,Other
early life,Other
earthquake,Astronomy and Planetary
education theory,Other
effect,Other
electric bell,Other
empirical relationship,Other
energy production,Other
energy source,Other
environmental effects,Other
environmental issue,Other
epoch,Other
era,Other
ethnological term,Other
evolution by phenotype,Other
experiment,Other
extraterrestrial vortex,Other
extreme weather,Other
eyewear,Other
family,Other
fiber,Other
fictional chemical element,Other
field of study,Other
film,Other
fine-tuning,Other
fire,Other
fixed construction,Other
food preservation,Other
fringe theory,Other
futuristic concept,Other
general quantity,Other
general term,Other
genre,Other
geographic envelope,Other
geomagnetic storm,Other
gold mine,Other
government agency,Other
group or class of chemical entities,Other
group or class of chemical substances,Other
human impact on the environment,Other
hypothesis,Other
hypothetical entity,Other
hypothetical scientific object,Other
image,Other
incident,Other
industry,Other
inscription,Other
institute,Other
interdisciplinary science,Other
interface standard,Other
international organization,Other
international standard,Other
invention,Other
iso standard,Other
kind of quantity,Other
laboratory,Other
latin phrase,Other
learned society,Other
lecture,Other
level of measurement,Other
limited company,Other
literary work,Other
logical contradiction,Other
long-term experiment,Other
magic trick,Other
manufacturing process,Other
marine propulsion,Other
material,Other
measurand,Other
measurement,Other
mechanism,Other
medical imaging,Other
medical procedure type,Other
medical test,Other
medical test type,Other
metaphor,Other
meteorological index,Other
meteorological phenomenon,Other
meteorology,Other
military project,Other
military training area,Other
missile model,Other
mixture,Other
mnemonic,Other
model,Other
model of computation,Other
modeling assumption,Other
multiple unit,Other
museum,Other
musical concept,Other
naming controversy,Other
natural phenomenon,Other
natural resource,Other
nautical language,Other
network,Other
non-existent substance,Other
non-periodic comet,Other
nonprofit organization,Other
objective quality metric,Other
occurrence,Other
online database,Other
open problem,Other
open-access journal,Other
organization,Other
outflow channel,Other
paradox,Other
paranormal,Other
party,Other
pattern,Other
periodic table form,Other
phenomenon,Other
philosophical concept,Other
philosophical problem,Other
philosophical theory,Other
physical concept,Other
physical constant,Mathematical Concept
physical container,Other
physical law,Other
physical model,Other
physical paradox,Other
physical phenomenon,Other
physical process,Other
physical property,Other
physical quantity,Other
physical theory,Other
physicochemical process,Other
physics award,Other
physics equation,Other
physics experiment,Other
physics term,Other
planform,Other
plot,Other
polyphyly,Other
postulate,Other
principle,Other
privately held company,Other
problem,Other
procedural texture,Other
process,Other
product category,Other
production environment factor,Other
profession,Other
project,Other
pronunciation,Other
property,Other
proposition,Other
pseudoscience,Other
public research university,Other
publication identifier,Other
q17444909,Other
q3342045,Other
q62078547,Other
q778869,Other
quality,Other
radiometric dating,Other
randomized algorithm,Other
reference atmospheric model,Other
reference work,Other
region of space,Other
religious views by individual,Other
renewable resource,Other
representation,Other
research center,Other
research collaboration,Other
research institute,Other
research organization,Other
research program,Other
research site,Other
riddle,Other
role,Other
rule,Other
running characteristics,Other
science award,Other
science project,Other
scientific controversy,Other
scientific hypothesis,Other
scientific journal,Other
scientific knowledge,Other
scientific law,Other
scientific model,Other
scientific society,Other
scientific theory,Other
sea state,Other
search algorithm,Other
second-order class,Other
sensor,Other
serial,Other
sibling duo,Other
signal,Other
sky phenomenon,Other
social movement,Other
social phenomenon,Other
software,Other
solar phenomena,Other
solar proton event,Other
source type,Other
space mission,Other
space probe,Other
space telescope,Other
standards organization,Other
structural class of chemical entities,Other
structure,Other
subjective quality,Other
submarine type,Other
supernova,Other
superpower,Other
superseded scientific theory,Other
surveillance,Other
suspension bridge,Other
syndrome,Other
task,Other
technical limitation,Other
technical standard,Other
technical term,Other
television series,Other
temporal entity,Other
tendency,Other
term,Other
textbook,Other
theory,Other
thought experiment,Other
time interval,Other
timeline,Other
timepiece,Other
toy,Other
trademark,Other
train and rail category,Other
triad,Other
type of chemical entity,Other
type of cyclone,Other
type of electronic component,Other
type of meteorological phenomenon,Other
type of mixture of chemical entities,Other
type of object,Other
type of physical object by use,Other
type of pollution,Other
type of polymer,Other
type of process,Other
type of property,Other
type of sport,Other
type of system,Other
type of warning system,Other
ultralight material,Other
underground research laboratory,Other
united states national laboratory,Other
universal law,Other
university,Other
urban legend,Other
use,Other
video game term,Other
water treatment,Other
weather,Other
webcomic,Other
welding process,Other
wikibase reason for deprecated rank,Other
wikimedia article covering multiple topics,Other
wikimedia article covering two opposite properties or topics,Other
wikimedia disambiguation page,Other
wikimedia glossary list article,Other
wikimedia information list,Other
wikimedia introduction to topic,Other
wikimedia list article,Other
wikimedia outline article,Other
wikimedia set index article,Other
wikimedia timeline,Other
wikipedia orders of magnitude list,Other
wing configuration,Other
work,Other
work of science,Other
working group,Other
world view,Other
written work,Other
zone,Other
chemical anti-element,Particle physics
cherenkov detector,Particle physics
cosmic-ray observatory,Particle physics
coupling constant,Particle physics
decay mode,Particle physics
electrostatic particle accelerator,Particle physics
elementary particle,Particle physics
fundamental interaction,Particle physics
gamma-ray telescope,Particle physics
gauge fixing,Particle physics
hadron collider,Particle physics
hypothetical particle,Particle physics
neutrino detector,Particle physics
particle accelerator,Particle physics
particle detector,Particle physics
particle physics,Particle physics
particle physics experiment,Particle physics
particle radiation,Particle physics
storage ring,Particle physics
synchrotron,Particle physics
type of interaction,Particle physics
type of quantum particle,Particle physics
ultra-high-energy cosmic ray,Particle physics
group of humans,Physicist
group of women,Physicist
human,Physicist
bell test experiments,Quantum physics
clifford gate,Quantum physics
double-slit experiment,Quantum physics
duality,Quantum physics
dynamical picture,Quantum physics
macroscopic quantum phenomena,Quantum physics
many-body theory,Quantum physics
no-go theorem,Quantum physics
quantum algorithm,Quantum physics
quantum effect,Quantum physics
quantum number,Quantum physics
relativistic wave equation,Quantum physics
wave function,Quantum physics
cosmological epoch,Relativity
cosmological horizon,Relativity
cosmological model,Relativity
cosmological principles,Relativity
cosmology,Relativity
exact solutions in general relativity,Relativity
frame of reference,Relativity
galaxy filament,Relativity
galaxy wall,Relativity
gravitational wave event,Relativity
large-scale structure of the universe,Relativity
observable universe,Relativity
postulates of special relativity,Relativity
tensor field,Relativity
universe,Relativity
void,Relativity
aircraft,Technology
aircraft class,Technology
aircraft lift class,Technology
aircraft lift-power class,Technology
aircraft model,Technology
aircraft power class,Technology
analytical chemical technique,Technology
animation technique,Technology
artificial satellite,Technology
atomic clock,Technology
biochemistry method,Technology
branch of engineering,Technology
device feature,Technology
directed-energy weapon,Technology
distortion in electrical engineering,Technology
electronic device,Technology
electrostatic generator,Technology
engine class,Technology
explosive device,Technology
facility,Technology
fictional technology,Technology
generator,Technology
gravitational-wave detector,Technology
heat engine,Technology
hypothetical technology,Technology
joining technology,Technology
lab technique,Technology
laboratory equipment,Technology
machine,Technology
measuring instrument,Technology
method,Technology
musical instrument,Technology
narrative technique,Technology
nasa facility,Technology
numerical method in differential equations,Technology
numerical method in hyperbolic partial differential equations,Technology
numerical methods in continuum mechanics,Technology
photographic technique,Technology
research satellite,Technology
scientific instrument,Technology
scientific method,Technology
scientific technique,Technology
spacecraft,Technology
spacecraft series,Technology
steam engine,Technology
technique,Technology
technology,Technology
transformer,Technology
type of machine element,Technology
type of musical instrument,Technology
type of technology,Technology
weapon model,Technology
weapon type,Technology
absorption refrigerator,Thermodynamics
black-body radiation,Thermodynamics
canonical ensemble,Thermodynamics
convection,Thermodynamics
energy,Thermodynamics
form of energy,Thermodynamics
gas law,Thermodynamics
heat flow rate,Thermodynamics
law of thermodynamics,Thermodynamics
maximum temperature,Thermodynamics
minimum temperature,Thermodynamics
phase,Thermodynamics
phase change,Thermodynamics
process function,Thermodynamics
state function,Thermodynamics
temperature,Thermodynamics
temperature scale,Thermodynamics
thermal property,Thermodynamics
thermodynamic material property,Thermodynamics
thermodynamic process,Thermodynamics
thermodynamic temperature,Thermodynamics
